node,neighbors
9606.ENSP00000388107,9606.ENSP00000000233
9606.ENSP00000461784,9606.ENSP00000000233
9606.ENSP00000381097,9606.ENSP00000000233
9606.ENSP00000234160,9606.ENSP00000000233
9606.ENSP00000241502,9606.ENSP00000000233
9606.ENSP00000317272,9606.ENSP00000000233
9606.ENSP00000487719,9606.ENSP00000000233
9606.ENSP00000354878,9606.ENSP00000000233
9606.ENSP00000479606,9606.ENSP00000000233
9606.ENSP00000369127,9606.ENSP00000000233
9606.ENSP00000493946,9606.ENSP00000000233
9606.ENSP00000383023,9606.ENSP00000000233
9606.ENSP00000266126,9606.ENSP00000000233
9606.ENSP00000262027,9606.ENSP00000000233
9606.ENSP00000271526,9606.ENSP00000000233
9606.ENSP00000364898,9606.ENSP00000000233
9606.ENSP00000325074,9606.ENSP00000000233
9606.ENSP00000310226,9606.ENSP00000000233
9606.ENSP00000006275,9606.ENSP00000000233
9606.ENSP00000369965,9606.ENSP00000000233
9606.ENSP00000258098,9606.ENSP00000000233
9606.ENSP00000265462,9606.ENSP00000000233
9606.ENSP00000347464,9606.ENSP00000000233
9606.ENSP00000330842,9606.ENSP00000000233
9606.ENSP00000358723,9606.ENSP00000000233
9606.ENSP00000363232,9606.ENSP00000000233
9606.ENSP00000498386,9606.ENSP00000000233
9606.ENSP00000225655,9606.ENSP00000000233
9606.ENSP00000351926,9606.ENSP00000000233
9606.ENSP00000447300,9606.ENSP00000000233
9606.ENSP00000264335,9606.ENSP00000000233
9606.ENSP00000482829,9606.ENSP00000000233
9606.ENSP00000387549,9606.ENSP00000000233
9606.ENSP00000386857,9606.ENSP00000000233
9606.ENSP00000271889,9606.ENSP00000000233
9606.ENSP00000377769,9606.ENSP00000000233
9606.ENSP00000489407,9606.ENSP00000000233
9606.ENSP00000341885,9606.ENSP00000000233
9606.ENSP00000307939,9606.ENSP00000000233
9606.ENSP00000297532,9606.ENSP00000000233
9606.ENSP00000222803,9606.ENSP00000000233
9606.ENSP00000347055,9606.ENSP00000000233
9606.ENSP00000378402,9606.ENSP00000000233
9606.ENSP00000258301,9606.ENSP00000000233
9606.ENSP00000232905,9606.ENSP00000000233
9606.ENSP00000323879,9606.ENSP00000000233
9606.ENSP00000254900,9606.ENSP00000000233
9606.ENSP00000253055,9606.ENSP00000000233
9606.ENSP00000466134,9606.ENSP00000000233
9606.ENSP00000338864,9606.ENSP00000000233
9606.ENSP00000311449,9606.ENSP00000000233
9606.ENSP00000280706,9606.ENSP00000000233
9606.ENSP00000262455,9606.ENSP00000000233
9606.ENSP00000345133,9606.ENSP00000000233
9606.ENSP00000382250,9606.ENSP00000000233
9606.ENSP00000257770,9606.ENSP00000000233
9606.ENSP00000351446,9606.ENSP00000000233
9606.ENSP00000255006,9606.ENSP00000000233
9606.ENSP00000386248,9606.ENSP00000000233
9606.ENSP00000381601,9606.ENSP00000000233
9606.ENSP00000211998,9606.ENSP00000000233
9606.ENSP00000253861,9606.ENSP00000000233
9606.ENSP00000373684,9606.ENSP00000000233
9606.ENSP00000305260,9606.ENSP00000000233
9606.ENSP00000216373,9606.ENSP00000000233
9606.ENSP00000157812,9606.ENSP00000000233
9606.ENSP00000219479,9606.ENSP00000000233
9606.ENSP00000262584,9606.ENSP00000000233
9606.ENSP00000248901,9606.ENSP00000000233
9606.ENSP00000361177,9606.ENSP00000000233
9606.ENSP00000243440,9606.ENSP00000000233
9606.ENSP00000405926,9606.ENSP00000000233
9606.ENSP00000481780,9606.ENSP00000000233
